Test Key,Title,Description,Preconditions,Priority,Test Steps,Data for Steps,Expected Results,Jira Story ID,Test Type,Component,Release,Test Case Status,,Creator
TC-001,Verify authorized user can access Edit button and open cycle builder on active cycle,Ref: AC1. Type: Positive.,"User has Perform admin / authorized role
At least one active cycle exists in Perform -> Cycle list",High,"Login with authorized user account
Navigate to Perform -> Cycle
Locate an active cycle in the list
Observe the Edit button
Click Edit",,"Edit button is visible on the active cycle
Full cycle builder opens with all fields loaded correctly
No error or restriction message is displayed",CHR-47407,Positive,Perform,,,,QA-Team
TC-002,Verify non-authorized user does NOT see Edit button on any cycle,Ref: AC1. Type: Security.,"User has a role without cycle edit permission (e.g. employee, viewer)
At least one cycle exists",High,"Login with non-authorized user account
Navigate to Perform -> Cycle
Observe the cycle list UI",,"No Edit button appears on any cycle
User sees read-only view of cycle information only",CHR-47407,Security,Perform,,,,QA-Team
TC-003,Verify non-authorized user accessing Edit URL directly is blocked and shown read-only view,Ref: AC1. Type: Security.,Non-authorized user has the direct edit URL (e.g. /perform/cycles/{id}/edit),High,"Login with non-authorized user account
Paste the direct edit URL into the browser address bar and navigate
Observe the result",,"User is redirected or shown access denied / read-only view
User cannot make any changes to the cycle",CHR-47407,Security,Perform,,,,QA-Team
TC-004,Verify authorized user can access Edit on both active and inactive cycles,"Ref: AC1, AC11. Type: Positive.","Authorized user
At least one active cycle and one inactive cycle exist",High,"Navigate to Perform -> Cycle
Click Edit on an active cycle -> observe cycle builder opens
Navigate back to Cycle list
Click Edit on an inactive cycle -> observe cycle builder opens",,"Both active and inactive cycles open the full cycle builder without restriction
No deactivation requirement message is displayed",CHR-47407,Positive,Perform,,,,QA-Team
TC-005,"Verify Save on inactive cycle saves directly without popup, redirects to cycle list, and updates incomplete tasks only","Ref: AC2, AC11. Type: Positive.","Authorized user
Inactive cycle with at least one incomplete task and one completed task",High,"Navigate to Perform -> Cycle -> click Edit on inactive cycle
Change the Title and Description fields
Click Save
After redirect, re-open the cycle and check incomplete task details
Check completed task details",,"Save Review popup does **NOT** appear
System saves directly
User is redirected to Cycle list
Toast message appears confirming save
Incomplete task reflects the updated Title and Description
Completed task remains in last submitted/saved state (unchanged)",CHR-47407,Positive,Perform,,,,QA-Team
TC-006,Verify Cancel with unsaved changes shows Discard confirmation popup,Ref: AC2. Type: Positive.,"Authorized user in Edit cycle page
At least one field has been changed but not saved",High,"Open Edit on any cycle
Change the Title field
Click Cancel",,"Popup appears: ""Do you want to discard changes? Any unsaved changes will be lost.""
Two action buttons visible: **Discard** and **Take me back**",CHR-47407,Positive,Perform,,,,QA-Team
TC-007,"Verify ""Discard"" in cancel popup navigates to cycle list and discards all unsaved changes",Ref: AC2. Type: Positive.,Discard confirmation popup is open (from TC_006),High,Click **Discard** in the popup,,"User is navigated to Cycle list
Unsaved changes are NOT persisted
Cycle data remains as it was before editing",CHR-47407,Positive,Perform,,,,QA-Team
TC-008,"Verify ""Take me back"" in cancel popup returns user to edit form with all unsaved changes intact",Ref: AC2. Type: Positive.,Discard confirmation popup is open,High,Click **Take me back** in the popup,,"User is returned to the edit cycle form
All unsaved changes are still present in the form fields",CHR-47407,Positive,Perform,,,,QA-Team
TC-009,Verify saving only future-only fields on active running cycle does NOT show popup,"Ref: AC3, AC7. Type: Positive.","Active cycle with a running run
Authorized user",High,"Open Edit on active running cycle
Change only future-only fields such as Overall Rating, Goal Tracking, and Questions
Click Save",,"Popup does **NOT** appear
System saves directly
Toast: ""Changes saved for the next cycle.""
Running tasks are not modified
The edited future-only fields are saved for the next cycle only",CHR-47407,Positive,Perform,,,,QA-Team
TC-010,Verify Save on active running cycle with at least one immediate field changed shows Review popup,"Ref: AC3, AC5. Type: Positive.","Active cycle with at least one incomplete running task
Authorized user",High,"Open Edit on active running cycle
Change Notification Settings (immediate field)
Click Save",,"Popup titled ""Review your changes"" is displayed
Message explains that some changes can apply now while others are saved for a future run / future generated tasks, using the approved final release copy
List shows ""Notification Settings"" as changed immediate field
Three action buttons: **Apply changes now**, **Save for next cycle**, **x**",CHR-47407,Positive,Perform,,,,QA-Team
TC-011,"Verify ""Apply changes now"" applies changes to incomplete tasks only and shows correct toast","Ref: AC3, AC6, AC10. Type: Positive.","Review popup is open (immediate field changed on active running cycle)
Cycle has at least one incomplete task and one completed task",High,"From Review popup, click **Apply changes now**
After redirect, inspect incomplete task
Inspect completed task",,"Immediate field changes are applied to incomplete tasks of the last running run
Completed tasks remain unchanged
User is redirected to Cycle list
Toast: ""Eligible changes were applied to running tasks. Other changes were saved for the next cycle. Completed tasks were not changed.""",CHR-47407,Positive,Perform,,,,QA-Team
TC-012,"Verify ""Save for next cycle"" does not modify any running tasks and shows correct toast","Ref: AC3, AC10. Type: Positive.",Review popup is open,High,"From Review popup, click **Save for next cycle**
After redirect, inspect running tasks",,"No running tasks are modified
No trigger is fired
User is redirected to Cycle list
Toast: ""Changes saved for the next cycle. Current running tasks were not changed.""",CHR-47407,Positive,Perform,,,,QA-Team
TC-013,"Verify clicking ""x"" on Review popup closes it and returns to edit form without saving","Ref: AC3, AC5. Type: Positive.",Review popup is open,High,Click the **x** (close) button on the Review popup,,"Popup closes
User is returned to the edit cycle form
All changes are still present in the form
No save is performed",CHR-47407,Positive,Perform,,,,QA-Team
TC-014,"Verify Title change after ""Apply changes now"" updates incomplete tasks and preserves completed-task history","Ref: AC4, Comments. Type: Positive.",Active running cycle with at least one incomplete task and one completed task,High,"Note the current task name (e.g. ""Q1 Review"")
Open Edit -> change cycle Title to ""Q1 Performance Review 2026""
Click Save -> popup appears -> click **Apply changes now**
Navigate into task list and inspect an incomplete task's name
Inspect a completed task's name",,"Incomplete task name = ""Q1 Performance Review 2026""
Completed task name remains unchanged to preserve historical reporting integrity
Grid review name is updated only where the employee still has at least one incomplete stage",CHR-47407,Positive,Perform,,,,QA-Team
TC-015,"Verify Description change after ""Apply changes now"" follows final approved completed-task rule and remains visible in audit","Ref: AC4, Comments. Type: Positive.",Active running cycle with incomplete and completed tasks,High,"Open Edit -> change Description to ""Updated description text""
Click Save -> Apply changes now
Open incomplete task details and check description
Open completed task details and check description
Check audit log of completed task",,"Incomplete task description = ""Updated description text""
Audit log of affected task/review data shows the description update
Completed-task assertion is executed only after BA/PO confirms whether Description still updates historical records",CHR-47407,Positive,Perform,,,,QA-Team
TC-016,Verify Notification Settings change applies ONLY to incomplete tasks; completed tasks retain original state,Ref: AC4. Type: Positive.,"Active running cycle with incomplete and completed tasks
Note current notification state of a completed task before editing",High,"Open Edit -> change Notification Settings (e.g. toggle email notifications ON)
Click Save -> Apply changes now
Inspect notification settings on an incomplete task
Inspect notification settings on a completed task",,"Incomplete task: email notifications enabled (updated to new setting)
Completed task: notification state unchanged (original state preserved)
No stage restriction applied to this field",CHR-47407,Positive,Perform,,,,QA-Team
TC-017,Verify End Date change is treated as immediate field when review period has NOT yet passed,Ref: AC4. Type: Positive.,"Active cycle with Custom Date Review
Review period end date is in the future",High,"Open Edit -> change End Date to a different valid future date
Click Save
Observe whether popup appears and what it lists
Select Apply changes now",,"Review popup appears
""End Date"" is listed in the immediate fields section of the popup
After Apply changes now -> incomplete tasks updated with new End Date",CHR-47407,Positive,Perform,,,,QA-Team
TC-018,Verify End Date cannot be applied immediately once the review period has already passed,"Ref: AC4, Comments. Type: Negative.","Active cycle with Custom Date Review
Review period end date has already passed",Medium,"Open Edit cycle and observe the End Date field state
Change End Date to a new value
Click Save -> observe popup behavior and task state",,"End Date is disabled or otherwise restricted from immediate application once the review period has passed
End Date does **NOT** appear in the popup's immediate fields list
Running tasks are **NOT** updated with the new End Date
If the UI still allows saving a new End Date value, it is treated as future-only for the next cycle only",CHR-47407,Negative,Perform,,,,QA-Team
TC-019,"Verify Reviewee Visibility change applies ONLY to incomplete tasks after ""Apply changes now""",Ref: AC4. Type: Positive.,"Active running cycle with incomplete and completed tasks
Note current Reviewee Visibility state of a completed task",High,"Open Edit -> change Reviewee Visibility setting
Click Save -> Apply changes now
Inspect incomplete task Reviewee Visibility
Inspect completed task Reviewee Visibility",,"Incomplete task: Reviewee Visibility updated to new setting
Completed task: original Reviewee Visibility state retained unchanged",CHR-47407,Positive,Perform,,,,QA-Team
TC-020,Verify popup only lists immediate fields that were actually changed by user (not all immediate fields),Ref: AC5. Type: Positive.,Active running cycle,High,"Open Edit -> change ONLY Notification Settings (leave Title, End Date untouched)
Click Save -> observe popup
Read the list in popup",,"Popup list shows only ""Notification Settings""
Title and End Date do NOT appear (they were not changed)",CHR-47407,Positive,Perform,,,,QA-Team
TC-021,Verify Stage and Notification Settings appear as SEPARATE popup entries when both changed in Review Options section,Ref: AC5. Type: Edge Case.,Active running cycle with Custom Date Review (stages configured),High,"Open Edit -> change both a Review Options stage toggle AND Notification Settings
Click Save -> observe popup list",,"Popup shows ""Stage"" and ""Notification Settings"" as two distinct separate list entries
They are NOT merged into a single ""Review Options"" item",CHR-47407,Edge Case,Perform,,,,QA-Team
TC-022,Verify popup title and message use the approved final wording (single message only),"Ref: AC5, Comments. Type: UI/UX.",Active running cycle with at least one immediate field changed,High,"Edit cycle -> change an immediate field -> click Save
Popup appears -> read the title and message text carefully",,"Title: **""Review your changes""**
Message matches the approved final release copy for this flow
Only ONE message displayed (no second helper text message)",CHR-47407,UI/UX,Perform,,,,QA-Team
TC-023,Verify popup lists all changed immediate fields when user changes multiple at once,Ref: AC5. Type: Positive.,Active running cycle,Medium,"Open Edit -> change Title, Notification Settings, AND Reviewee Visibility
Click Save -> observe popup list",,"Popup list includes: Title, Notification Settings, Reviewee Visibility
Only those 3 fields - no others appear",CHR-47407,Positive,Perform,,,,QA-Team
TC-024,Verify changing both immediate and future-only fields triggers popup listing ONLY immediate fields; future fields save silently,"Ref: AC3, AC5, AC7. Type: Edge Case.",Active running cycle,High,"Open Edit -> change Title (immediate) AND Overall Rating config (future-only)
Click Save -> observe popup
Select Apply changes now
Verify task title
Verify Overall Rating on tasks",,"Popup appears (because Title is immediate)
Popup list: only ""Title"" - Overall Rating is NOT listed
After Apply changes now: Title updated on incomplete tasks; Overall Rating saved for next cycle only",CHR-47407,Edge Case,Perform,,,,QA-Team
TC-025,Verify all Review Options toggles are editable before first stage trigger date (Custom Date Review),"Ref: AC9, AC12. Type: Positive.","Active cycle with Schedule Type = Custom Date Review
Current date is before the first stage trigger date",High,"Open Edit -> navigate to Review Options section
Attempt to interact with Self, Manager, Peer, Direct Report toggles",,"All four toggles are editable
No disabled state or tooltip shown",CHR-47407,Positive,Perform,,,,QA-Team
TC-026,Verify Peer and Direct Report toggles are DISABLED after their trigger dates pass (Custom Date Review),"Ref: AC9, AC12. Type: Positive.","Active Custom Date Review cycle
Review Period: e.g. Mar 3 - Apr 15; Peer/DR trigger = Mar 16
Current date > Mar 16 but Self/Manager stage not yet started",High,"Open Edit -> navigate to Review Options
Attempt to interact with all four toggles
Hover over a disabled toggle",,"Self and Manager toggles: editable
Peer and Direct Report toggles: **disabled**
Tooltip: ""This review stage has already started; participants are already set.""",CHR-47407,Positive,Perform,,,,QA-Team
TC-027,Verify ALL Review Options toggles are disabled when all stages have started (Custom Date Review),"Ref: AC9, AC12. Type: Positive.","Active Custom Date Review cycle
Current date > all four stage trigger dates",High,"Open Edit -> navigate to Review Options
Attempt to interact with all four toggles
Hover over each disabled toggle",,"All four toggles (Self, Manager, Peer, DR) are **disabled**
Correct tooltip on each: ""This review stage has already started; participants are already set.""",CHR-47407,Positive,Perform,,,,QA-Team
TC-028,Verify Anniversary Date Review has NO stage-based locking and Review Options changes are treated as future-only,"Ref: AC9, AC12. Type: Positive.",Active cycle with Schedule Type = Anniversary Date Review and a running run,High,"Open Edit -> navigate to Review Options
Observe toggle states
Change a Review Options toggle
Click Save -> observe popup and behavior",,"All Review Options toggles are **editable** (no stage-based locking)
No stage-based tooltip shown
Review Options change is treated as **future-only** -> popup does NOT appear for this change
Toast: ""Changes saved for the next cycle."" (if no other immediate fields changed)",CHR-47407,Positive,Perform,,,,QA-Team
TC-029,Verify recurring cycle calculates stage editability independently PER RUN (not globally),Ref: AC12. Type: Edge Case.,"Recurring cycle: Cycle 1 (Mar 3 - Apr 15), Cycle 2 (Apr 15 - Aug 15)
Current date: Cycle 1 stages have passed; Cycle 2 stages have NOT yet started",High,"Open Edit on the recurring cycle
Navigate to Review Options
Observe toggle editability relative to Cycle 2's stage trigger dates",,"Editability is evaluated based on Cycle 2's own stage trigger dates
All toggles are editable (Cycle 2 has not started any stage)
Cycle 1's passed stages do NOT influence Cycle 2's editability",CHR-47407,Edge Case,Perform,,,,QA-Team
TC-030,Verify review period shorter than 15 days shows helper text and resets all stage offsets to day 0,Ref: AC12. Type: Positive.,Edit mode on a Custom Date Review cycle with existing 30-day and 15-day stage offsets configured,Medium,"Open Edit -> set review period to less than 15 days (e.g. Start Apr 7, End Apr 14 = 7 days)
Observe UI near the review period field
Inspect the stage trigger configuration",,"Helper text: ""The duration of your review period is less than 15 days. Tasks will be triggered at its start.""
All stage offsets overridden: all stages triggered at start of cycle (day 0)
Previous offset values (30 days, 15 days) are **not preserved**
System overrides all stages to trigger at start (day 0)
No previous offset values reused or carried over",CHR-47407,Positive,Perform,,,,QA-Team
TC-031,Verify editing One-Time active cycle with running run shows popup for immediate field changes,Ref: AC3. Type: Positive.,"One-Time cycle that is active with at least one incomplete running task
Authorized user",High,"Open Edit on One-Time active cycle
Change Notification Settings (immediate field)
Click Save -> observe popup
Click Apply changes now -> observe incomplete tasks
Re-run: Click Save for next cycle -> observe task state",,"Review popup appears (same logic as Recurring)
Popup wording uses ""future generated tasks"" NOT ""next run""
Apply changes now -> incomplete tasks updated
Save for next cycle -> tasks unchanged; changes apply to future manual assignments",CHR-47407,Positive,Perform,,,,QA-Team
TC-032,Verify One-Time cycle without running tasks saves directly without popup,Ref: AC3. Type: Positive.,"Authorized user
One-Time cycle exists in each of these states:
- not started (inactive / no running tasks)
- completed (no running tasks, all current tasks completed)",High,"Scenario A: Open Edit on a not-started One-Time cycle, change a field, and click Save
Scenario B: Open Edit on a completed One-Time cycle, change a field, and click Save",,"In both scenarios, popup does **NOT** appear because there is no running cycle
System saves directly
For a completed One-Time cycle, the saved configuration applies to future manual assignments only
Success toast is shown after each save",CHR-47407,Positive,Perform,,,,QA-Team
TC-033,"Verify manual assignment after ""Save for next cycle"" uses the latest saved config for recurring and One-Time cycles","Ref: AC12, CHR-48715. Type: Integration.","One active recurring cycle and one active One-Time cycle are available
Each cycle has already been edited and saved with **Save for next cycle**",High,"For the recurring cycle, create a manual assignment after saving the edited cycle for the next cycle
Open the newly created assignment task and inspect its configuration
Repeat the same flow for the One-Time cycle",,"In both recurring and One-Time flows, the manual assignment uses the **latest saved config**
Old pre-edit config is NOT used
Existing running tasks remain unchanged",CHR-47407,Integration,Perform,,,,QA-Team
TC-034,Verify latest combined saved configuration remains the source of truth across multiple edits regardless of order,"Ref: AC12, Comments. Type: Edge Case.",Active cycle with running run,High,"Scenario A: Edit an immediate field first, save, then edit a future-only field and save again
Scenario B: Edit a future-only field first, save, then edit an immediate field and save again
Verify the running incomplete tasks after each scenario
Verify the config stored for future use (next run / manual assignment)",,"Immediate changes affect only the current running incomplete tasks when the user chooses the immediate path
Future-only changes remain saved for future use
The next run / manual assignment uses the latest combined saved configuration after the final save
No duplicate or conflicting pending configuration remains",CHR-47407,Edge Case,Perform,,,,QA-Team
TC-035,Verify each save path shows the correct toast variant,Ref: AC10. Type: UI/UX.,,High,"Scenario A: Edit an immediate field, save, and choose **Apply changes now**
Observe the toast message after redirect
Scenario B: Edit an immediate field, save, and choose **Save for next cycle**
Observe the toast message after redirect
Scenario C: Edit only future-only fields and save
Observe the toast message after redirect",,"Scenario A toast matches the approved final copy for **Apply changes now**
Scenario B toast matches the approved final copy for **Save for next cycle**
Scenario C toast matches the approved final copy for the future-only save path",CHR-47407,UI/UX,Perform,,,,QA-Team
TC-036,"Verify incomplete tasks in inactive cycle display updated info (title, review period, due date, notifications) after save",Ref: AC11. Type: Positive.,Inactive cycle with at least one incomplete task and one completed task,High,"Note current values: Title, Review Period dates, Due Date, Notification state of incomplete task
Open Edit -> change Title, review period dates, and Notification Settings
Save
Open cycle -> inspect incomplete task details
Open completed task details",,"Incomplete task: title updated, review period (start/end) updated, due date updated, notification setting updated
Completed task: all values remain in last submitted/saved state (no changes)",CHR-47407,Positive,Perform,,,,QA-Team
TC-037,Verify review name in cycle grid updates only for employees with at least one incomplete stage,Ref: AC11. Type: Positive.,"Inactive cycle with two target employees:
- one employee with at least one incomplete stage
- one employee with all stages completed",Medium,"Note the current review names in the cycle grid for both employees
Open Edit -> change cycle Title -> Save
Observe the review names in the cycle grid for both employees",,"Review name in grid is **updated** for the employee with an incomplete stage
Review name in grid remains **unchanged** for the employee with all stages completed",CHR-47407,Positive,Perform,,,,QA-Team
TC-038,"Verify Timeline Preview is available across entry points, shown as a collapsed dropdown, and can be expanded manually",Ref: AC13. Type: UI/UX.,"User can access Create mode, Edit inactive cycle, and Edit active cycle",High,"Open Create new cycle and locate the Timeline Preview section
Open Edit on an inactive cycle and locate the Timeline Preview section
Open Edit on an active cycle and locate the Timeline Preview section
In one of the screens, confirm the section is collapsed by default and expand it manually",,"Timeline Preview is rendered as a **dropdown** (NOT a flyout/panel)
The section is present in Create mode, inactive Edit mode, and active Edit mode
**Collapsed** by default
Section title: ""Timeline Preview""
Helper text: ""See how review periods are calculated based on your current settings.""",CHR-47407,UI/UX,Perform,,,,QA-Team
TC-039,Verify Timeline Preview shows correct empty state when review period is not yet configured,Ref: AC13. Type: Edge Case.,Creating a new cycle OR editing a cycle without review period configured,Medium,"In Create or Edit mode -> do not configure review period
Expand Timeline Preview",,"Empty state: ""The review period will appear here once it's configured.""",CHR-47407,Edge Case,Perform,,,,QA-Team
TC-040,Verify old active-cycle edit warnings and deactivation guidance are no longer displayed in the edit flow,Ref: Existing Flow Alignment. Type: Regression.,,High,"Open Edit on an active cycle
Change any field
Observe the entire edit flow: form view, save, post-save",,"Message ""The edits will apply to the next run, not the current run."" does **NOT** appear at any step
No validation message prevents editing an active cycle",CHR-47407,Regression,Perform,,,,QA-Team
TC-041,Verify double-clicking Save button triggers ONLY one save API call (no concurrent duplicates),Ref: CHR-48706. Type: Negative.,"Edit mode with at least one changed field
Browser devtools open (Network tab)",High,"Open Edit -> change a field
Double-click Save button in rapid succession
Monitor Network requests",,"Only **one** save API call is triggered
No ""Could Not Save Changes"" error appears
Save completes successfully with correct toast",CHR-47407,Negative,Perform,,,,QA-Team
TC-042,Verify saving with invalid data shows validation error (overriding helper text) and blocks save,Ref: AC12. Type: Negative.,Edit mode,Medium,"Open Edit -> enter invalid data (e.g. End Date earlier than Start Date)
Click Save",,"Validation error message appears (overrides any helper text for that field)
Save is **blocked** until valid data is entered
No popup or success toast appears",CHR-47407,Negative,Perform,,,,QA-Team
TC-043,Verify Notification Settings toggle ON->OFF removes notifications from incomplete tasks; OFF->ON adds them with new config,"Ref: AC8, AC11. Type: Positive.","Active cycle with incomplete and completed tasks
Notifications currently enabled on incomplete tasks",High,"**Scenario A:** Edit cycle -> toggle Notifications from **ON -> OFF** -> Save -> Apply changes now
Inspect incomplete task notification state
Inspect completed task notification state
**Scenario B:** Edit cycle -> toggle Notifications from **OFF -> ON** -> configure settings -> Save -> Apply changes now
Inspect incomplete task notification state
Inspect completed task notification state",,"Scenario A: Notifications removed from incomplete tasks; completed tasks unchanged
Scenario B: Notifications added to incomplete tasks with newly configured settings; completed tasks unchanged; email template updated if changed",CHR-47407,Positive,Perform,,,,QA-Team
TC-044,"Verify Stage entry in popup: ""Apply changes now"" does NOT apply Stage changes to existing tasks; only Notification Settings applies immediately",Ref: AC5. Type: Edge Case.,"Active Custom Date Review cycle with running run
Both a Stage-related toggle and Notification Settings have been changed",High,"Edit cycle -> change a Review Options stage toggle AND change Notification Settings
Click Save -> observe popup list
Select **Apply changes now**
Inspect running incomplete tasks: stage participant configuration
Inspect running incomplete tasks: notification settings",,"Popup shows ""Stage"" and ""Notification Settings"" as separate entries
After Apply changes now:",CHR-47407,Edge Case,Perform,,,,QA-Team
TC-045,Verify Frequency can be edited only while the cycle is inactive,Ref: Comments. Type: Negative.,"One recurring active cycle and one recurring inactive cycle exist
Authorized user",High,"Open Edit on the active cycle and inspect the Frequency control
Attempt to modify Frequency and save
Open Edit on the inactive cycle and inspect the Frequency control
Modify Frequency on the inactive cycle and save",,"Active cycle: Frequency is disabled or otherwise unavailable for editing
Active cycle save does not apply a Frequency change
Inactive cycle: Frequency remains editable and saves normally",CHR-47407,Negative,Perform,,,,QA-Team
TC-046,Verify Notification Settings remain editable on an active running cycle,"Ref: AC4, Comments, CHR-48701. Type: Positive.","Active recurring cycle with running tasks
Authorized user",High,"Open Edit on the active running cycle
Navigate to Notification Settings
Attempt to toggle each supported notification control",,"Notification Settings controls are editable
No disabled state blocks editing this section
No stage-based restriction is applied to Notification Settings",CHR-47407,Positive,Perform,,,,QA-Team
TC-047,Verify enabling Peer review and applying immediate changes unlocks Add Peer Review where applicable,"Ref: AC5, CHR-48708. Type: Integration.","Active cycle generated without Peer review enabled
At least one incomplete running task exists",High,"Open Edit -> enable Peer review
Click Save -> select **Apply changes now**
Open the Cycle Review list for an affected employee
Inspect the Add Peer Review action",,"Peer review option is enabled for future behavior according to the approved save path
The Add Peer Review action is enabled where the edited configuration now allows it
No stale disabled state remains after the immediate apply flow completes",CHR-47407,Integration,Perform,,,,QA-Team
TC-048,Verify immediate cycle updates do NOT send an extra notification solely because the cycle configuration changed,Ref: Comments. Type: Negative.,"Active running cycle with incomplete tasks
Mail / notification delivery can be monitored",Medium,"Edit an immediate field such as Notification Settings or Title
Click Save -> select **Apply changes now**
Monitor outbound notifications sent immediately after save",,"Running incomplete tasks reflect the approved configuration change
No extra reviewee / assignee notification is sent solely because the cycle was edited
Only normal task configuration updates are applied",CHR-47407,Negative,Perform,,,,QA-Team
TC-049,Verify Timeline Preview for Anniversary review is illustrative while Custom Date Review preview reflects configured cycle dates,"Ref: AC13, Comments. Type: UI/UX.",One Custom Date Review cycle and one Anniversary Date Review cycle can be opened in Create or Edit mode,High,"Open Timeline Preview for a Custom Date Review configuration
Observe the rendered dates and periods
Open Timeline Preview for an Anniversary Date Review configuration
Observe the rendered dates and periods",,"Custom Date Review preview reflects the configured cycle dates and rules
Anniversary Date Review preview is shown as an illustrative / dummy timeline only
Anniversary preview does not drive field editability decisions",CHR-47407,UI/UX,Perform,,,,QA-Team